Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City/Town,State,Country,Telephone,Fax,Email,Website,Production Processes,Products Manufactured/Business Line,Current Export Markets
BASF (Malaysia) Sdn Bhd,182671-M,1989.0,Vimala Arumugam,Chief Executive Officer,David Liew,"Senior Manager, Plastic Additives, Performance Chemicals","Lot 19.02, Level 19, 1 Powerhouse, No. 1, Persiaran Bandar Utama, Bandar Utama",47800.0,Petaling Jaya,Selangor,Malaysia,603-7456 1888,603-7456 1777,subaash@agilemedical.org,www.basf.com,,,"Australia, Bangladesh, Canada, China, Egypt, Hong Kong, India, Indonesia, New Zealand, Pakistan, Philippines, Singapore, South Korea, Sri Lanka, Taiwan, Thailand, United States, Vietnam"
Auto Global Parts Industries Sdn Bhd,217338-H,2010.0,Chin Jit Sin,Managing Director,Chin Jit Sin,Managing Director,"Lot 5043, Jalan Teratai, Meru",41050.0,Klang,Selangor,Malaysia,603-3392 6818,603-3392 6808,,www.autoglobal.com.my,Injection Moulding,"Transportation Products, Parts and Accessories, Manufacturing of Automotive Plastic Parts and Accessory Lamps, Transportation",
Associated Air-Pak Industries Sdn Bhd,26441-T,1976.0,Chandra Kumar,Managing Director,Sivagnana Kumaran,General Manager,"9, Persiaran Rishah 9, Kawasan Perindustrian Silibin",30100.0,Ipoh,Perak,Malaysia,605-526 2122,605-527 5476/526 8422,kam.hwa.lim@gmail.com,www.air-pak.net,Film Blowing/Film Extrusion,"Air Bubblepak, PE Foam, PP/HIPS Sheet, PE Films, Conductive/Antistatic/Clean Films and Sheet, Agricultural, Films and Bags, Foam","Singapore, Indonesia, Thailand"
Asiatic Plastic Packaging Industries Sdn Bhd,162018-T,1987.0,Choong Tat Koon,Chairman,Choong Kim Voon,Managing Director,"1 - 3 Jalan Kilang Satu, Kawasan Perindustrian, Jelapang Taman Pertama",30100.0,Ipoh,Perak,Malaysia,"605-526 3917/3966/0148, 528 2741",605-526 3927,,www.asiaticplastic.com,"Injection Moulding, Sheet Extrusion, Thermoforming , Pressure Forming, Vacuum Forming","OEM Manufacturer for Trays and Containers, Reusable and Disposable Containers, Cups, Lids and Cutlery, Blister Packaging for Food Industries, Household, Food Service, Electronic and Pharmaceutical","Australia, Brunei, Indonesia, New Zealand, Pakistan, Philippines, Singapore, United States"
Asia Poly Industrial Sdn Bhd,132287-H,1984.0,Tay Swee Keng,Executive Director,Kua Chye Heng,Business Enquiries,"Lot 758, Jalan Haji Sirat, Mukim Kapar",42100.0,Klang,Selangor,Malaysia,603-3342 2567,603-3342 8320,andrew@allbright.com.my,www.asiapoly.com.my,"Cell Casting , Polymerisation and Cell Cast","Cast Acrylic Sheets, Agricultural","India, Brazil, United Arab Emirates, Australia, Turkey, New Zealand, Korea, Japan, USA"
ASB Machinery (M) Sdn Bhd,208943 A,1991.0,KK Sim,,KK Sim,,"28, Jalan Impian Gemilang 1/9, Saujana Impian",43000.0,Kajang,Selangor,Malaysia,609-473 7686,,azafean@alliedhori.com.my,,,"Machinery Supplier, Equipment Supplier i4.0 Solution Providers",
Foam Packaging Industries Sdn Bhd,024536-D,1975.0,Wee Ching Yun,Managing Director,,,"Lot 1503, Batu 8 ½, Jalan Klang Lama, Petaling Jaya",46000.0,,Selangor,Malaysia,603-7876 7066,603-7875 9584,pkcheong@allstarchem.com.my,www.chongwahgroup.com,Foam Moulding,"EPS Moulded Foam for Insulation and Packaging, ICE Boxes , Foam",
Fitson Sdn Bhd,304273-W,1994.0,Chan Ching,Managing Director,Chan Ching,Managing Director,"No. 19, Jalan i-Park SAC3, Taman Perindustrian i-Park SAC",81400.0,Senai,Johor,Malaysia,607-595 5918,607-595 5928,email@alpha-connection.com.my,www.fitson.com,"Injection Moulding, Injection Stretch Blow Moulding, Blow Moulding, Fabrication of Mould , Liquid Silicone Rubber, High Frequency Welding, Ultrasonic Welding, Brush Tufting and Trimming, Blister Packing, Tampo Printing, Innovation and Design Centre","Feeding Bottles, Milk Powder Containers, Electronic Breast Pump, Manual Breast Pump, Feeding Bottle Adapter, Breast Milk Storage, Drinking Bottles, Bottle & Teat Brushes, Milk Powder Dispensers, Drying Rack, Teethers, Children","Singapore, China, Australia, Canada, Japan, United Kingdom, United States, France, Germany, New Zealand, Italy, Netherlands, Russia, Indonesia"
First Packaging Industries Sdn Bhd,93103 M,1985.0,Lim Soo Lek,Marketing Director,L.M. Chan,Sales Coordinator,"Lot 58, 11th Mile, Off Jalan Cheras, Kajang",43000.0,,Selangor,Malaysia,603-8736 6286/3933/6991,603-8736 6282,alpha_innovation@yahoo.com,,Film Blowing/Film Extrusion,"Air Bubble Bags & Sheets, Bubble Foil for Building Roof, Containers and Bottles, Films and Bags",
Fiman Plastic Industries Sdn Bhd,12746-M,1972.0,Wee Ching Yun,Managing Director,,,"Lot 6, Jalan 16/11, Kawasan Miel, Shah Alam",40000.0,,Selangor,Malaysia,603-3122 8878,603-3122 1068,alphapipe1@gmail.com,www.chongwahgroup.com,"Blow Moulding, Injection Moulding","Plastic Containers, Containers and Bottles",
Filtermation (Mfg) Sdn Bhd,268775-T,1993.0,Harith Noor Nordin,Managing Director,,,"Lot 102, Jalan Dua, Kawasan Perindustrian Olak Lempit, Banting",42700.0,,Selangor,Malaysia,603-9149 4100,603-3149 4101,Saowanee.Preechanaruechitkul@ampacet.com,www.filtermation.com/,"Injection Moulding, Carding",Air Conditioning Accessories,"Australia, United Kingdom"
Fibertex Personal Care Sdn Bhd,563635-X,2001.0,Peter Andersen,Chief Executive Officer,Martin Holten,Commercial Director,"Jalan Mekanikal 1, Nilai 3 Industrial Park, Nilai",71800.0,,Negeri Sembilan,Malaysia,606-798 2400,606-798 2455,amrich@amrich.com.my,fibertexpersonalcare.com/,"Extrusion & Spinning, Calendering",Non-Wovens,
Fero Maltech Industries (M) Sdn Bhd,788523-H,2007.0,Ooi Hock Boon,Managing Director,Ooi Shir Nee,Business Development Manager,"PT1428, Kawasan Perindustrian Pengkalan Chepa 2",16100.0,Kota Bharu,Kelantan,Malaysia,+609-773 1288,+609-773 2188,al@anchorlink.com.my,www.feromaltech.com,"Film Blowing/Film Extrusion, Slitting, Cutting, Sealing","Plastic Film Roll, Plastic Bags; Packaging (Film/Bag)",
Fatt Ling Plastic Industries Sdn Bhd,,,Siew Tung Fat,Director,,,"78, Jalan Sungai Tapang, Stampin, Batu 7, Kuching",93250.0,,Sarawak,Malaysia,6082-615 878,6082-615 778,kw_chong@anry.com.cn,,Film Blowing/Film Extrusion,Films and Bags,
Exzone Precision Engineering Sdn Bhd,243754-V,1986.0,Liang Wooi Gee,Managing Director,Hang Kok Leong,Chairman,"Plot 36 & 37, Jalan PKNK, Kawasan Perindustrian Sungai Petani",8000.0,Seberang Perai,Kedah,Malaysia,604-441 7980,604-442 8805,ansoon_superior@yahoo.com,www.lustergroup.com,Injection Moulding,"Audio Parts, Automotive, Medical Products , Electrical and Electronics, Transportation, Medical and Pharmaceutical","Australia, Singapore, United States, New Zealand, Belgium"
ExxonMobil Chemical Malaysia Sdn Bhd,4371 P,1961.0,Lee Seng Leng,Director,Nicholas Yap,Account Manager,"Level 16, Menara ExxonMobil, Kuala Lumpur City Center",50088.0,Kuala Lumpur,Wilayah Persekutuan,Malaysia,"603-4815 3302, 6016-905 4519",603-21730 9265,bala@antawiseplastic.com.my,,,Petrochemical,
Zinco Colours Compounding Sdn Bhd,789790-W,2007.0,Chan Kar Hock,Managing Director,Carmen Chew,Sales Manager,"6, Jalan Canang Emas 9/KS10, Telok Gong, Port Klang",42000.0,,Selangor,Malaysia,603-3134 1138,603-3134 2338,apmpl@apm.com.my,,Compounds,"Compounding and Colouring of Most Engineering Plastics, Compounding of Flame Retardant Glass Fibre Material. UV Additives (ABS, EVA, PA, PBTP, PC, PE, PMMA, POM, PP, PS, AS)","China, Vietnam, Europe, India, Thailand, Indonesia"
Zhoushan Plastech Sdn Bhd,1328956-K,2019.0,Johnson Phoon/Gu Jian Meng,Chief Executive Officer/Chief Technical Officer,Eugene Phoon,Sales,"62A, Lapangan Perdana 10, Panorama Lapangan Perdana",31650.0,Ipoh,Perak,Malaysia,6019-5599 268,,kenny@apnplastics.com,,Slitting / Die Cut & Rewinding,"Slitted PVC Rolls, Die Cut Sheet, Stretch Film and Screw, Barrel sete.",
Zhaori Packaging Industries (M) Sdn Bhd,,1979.0,TS Ow,Managing Director,TS Ow,,"Lot 1663, Jalan Palembang, Off Jalan Shapadu, Klang, Rantau Panjang",42100.0,,Selangor,Malaysia,603-3291 6270/6052,603-3291 0641,angus@arahjohan.com,,Foam Moulding,"EPS Foam for Cup and Packaging, Block and Foam ,Foam",
SDP Manufacturing Sdn Bhd,,1992.0,Khoo Boo Hor,CEO,Ng Boon Hoo,Managing Director,"34, Jalan Masyur Satu, Taman Perindustrian Cemerlang, Ulu Tiram",81800.0,,Johor,Malaysia,607-861 8000,607-861 6800,malaysia@arburg.com,,"Injection Moulding , Ultrasonic Welding Spray-painting, Silkscreen-painting, Pad-printing, Laser Marking, Assembly","Automotive and Telecommunication Plastic Assembly Sets , Electrical and Electronics, Telecommunication",Singapore
Mayer Manufacturing Sdn Bhd,265452-P,1993.0,AC Tan,Director,Eddy Tan,General Manager,"44, Jalan PBP 3, Pusat Bandar Puchong Industrial Park",47100.0,Puchong,Selangor,Malaysia,603-5891 9122,603-5891 9177,enquiry.arensimarley@gmail.com,www.mayer.com.my,"Thermoforming, Yarn Extrusion","OEM Manufacturing (Thermoforming), U-belted Z-Straws, Flexible Straws, Spoon-Shaped Straws, Cup Lids, Food Trays, Blister Packs, Electronic Trays , Houseware, OEM Manufacturing, Straws, Packaging","Australia, Spain, France, Italy, Canada, New Zealand"
Maylite (M) Sdn Bhd,178951-W,1989.0,,,Christopher Soo,Manager,"Lot 28, Kepong Industrial Area, Lorong Kuang Bulan, Taman Kepong",52100.0,,Kuala Lumpur,Malaysia,012-2923878,,info@aritaplastic.com,www.maylite.com,"Injection Moulding, Profile Extrusion","Flower Pots, Flower Pot Tray, Flower Pots with Stand, Office Chairs Accessories (Base, Arm Rest, Side Chair Sheet, Tablet, Typist Inner, Typist Cover), OEM Custom Molding, Houseware, Premium and Gift, Office Chair, Chair and Table for School , Furniture, Gardening, Houseware, OEM Manufacturing, Promotional and Premium Gift","Europe, Middle East, Australia, Asia and Africa"
Maya Plastic Sendirian Berhad,008750-T,1969.0,Ron Khoo,Executive Director,Lian Kut Khim,Marketing Manager,"7, Jalan Kilang, Dato' Onn Industrial Estate, Johor Bahru",80350.0,,Johor,Malaysia,607-236 3808,607-236 7636,arrigotrading123@gmail.com,www.maya.com.my,"Injection Moulding, Extrusion , Assembly","OEM Manufacturing (Injection Moulding), Gardening Accessories, Baby Care Products, Household Plastic Parts, Garden Hoses, Garden Hose Reel/Cart & Industrial Hoses , Children, Gardening, House Cleaning Utensils, OEM Manufacturing",
May-Plastics Manufacturers Sdn Bhd,543564-W,2001.0,Cheah Chee Choon,Managing Director,Wilson Kat Weng Seng,Sales Director,"Lot 676, Batu 19 ½, Jalan Rawang, Mukim of Rawang, Rawang",48000.0,,Selangor,Malaysia,603-6091 3312,603-6091 3313,asasramasb@yahoo.com,www.mayplastics.com,"Injection Moulding , Spray-painting, Silkscreen-painting, Pad-printing, Ultrasonic Welding","Plastic Parts and Sub-Assemblies of Plastic Parts for Electrical, Electronics and Telecommunication Industry, Plastic Parts for Auto Accessories and Other Injection Moulded Products , Electrical and Electronics","Australia, Canada, USA, United Kingdom"
May Polyester Films Sdn Bhd,249176-W,1992.0,Cheah Lam Choy,Chairman,Lim Wei Seng,General Manager,"Lot 1768, Jalan Aman, Mukim Ijok, Bestari Jaya",45600.0,Batang Berjuntai,Selangor,Malaysia,012-6455513,,asbkl.28@gmail.com,www.maypolyester.com,Extrusion Sheet,"Polyethylene Terephthalate Film Roll or Sheet, Packaging",
Matsui Solutions Malaysia Sdn Bhd,201901006703 (1316030-X),,Goh Chong Peng,Director,,,"KA3-2-8 Kuchai Avenue, Jalan Kuchai Maju 13, Kuchai Lama",58200.0,Kuala Lumpur,Wilayah Persekutuan,Malaysia,03-7982 8671,(65)6743 6111,info@asiapoly.com.my,matsui.net/en/,,Services,
Maqo Engineering Sdn Bhd,1106460M,2014.0,Kong Kok King,Director,Kong Kok King,Director,"No. 27, Jalan TPP 1/1, Taman Perindustrian Puchong, Puchong",47100.0,,Selangor,Malaysia,603-8069 1706,603-7966 6696,tkchoong400503@yahoo.com,maqosolar.com/,,Services,
Maslino Sdn Bhd,536727-W,2001.0,Ng Yoon Kheong,Managing Director,Callie Tan,General Manager,"2059, Lorong IKS Satu, Taman ISK, Kawasan Perindustrian Bukit Minyak",14100.0,Seberang Prai,Pulau Pinang,Malaysia,604-502 5188,604-502 5288,air-pak@air-pak.net,www.masfloor.com.my,,"Industrial and Construction, Resins, Solvents, Stabilisers, Others","South Africa, Indonesia, Manila, Chile, Fiji, Pakistan, India"
Malayan Electro-Chemical Industry Co. Sdn Bhd,,,Ng Cheong Thiam,Director/General Manager,Ng Cheong Thiam,Director/General Manager,"7, Lorong LKS Bukit Minyak, Taman LKS Bukit Minyak",14100.0,Bukit Minyak,Pulau Pinang,Malaysia,010-378 7928/011-6447 3685,604-5059 928,enquiries@newhoongfatt.com.my,,,PVC Compounds and PVC Resins,
Mah Sing Plastics Industries Sdn. Bhd.,197901007184 (51470-T),1979.0,Lee Foo Keong,Executive Director,Eric Ng Wen Shiang,General Manager,"Lot 9, Jalan Lingkaran Sultan Mohamed 1, Kaw. Perindustrian Bandar Sultan Suleiman, Pelabuhan Klang Utara, Port Klang",42000.0,,Selangor,Malaysia,603-3176 3718,603-3176 1205,gladys.soh@clariant.com,www.msplastics.com.my,Injection Moulding,"Plastic Pallets and Multi-usage Industrial Plastic Containers, Mobile Garbage Bins, Educational, Indoor and Outdoor Plastic Furniture and Custom-Moulded Products, Plastic Crate , Agricultural, Electrical and Electronics, Furniture, House Cleaning Utensils, Industrial and Construction, Transportation","Thailand, Singapore, Philippines, Australia, Vietnam, Indonesia, India, Sri Lanka, Ivory Coast, Jordan"
Mapo Industries Sdn Bhd,197301002825 (16271-K),1973.0,YBhg Dato' Francis Heng,Director,Jenson Heng,Director,"PT 67144, Lot 10, Jalan Sg. Pinang 5/2, Taman Prindustrian Pulau Indah, Fasa 2, Mukim Klang",42920.0,,Selangor,Malaysia,603-3101 4888,603-3101 3402,sally@awardpack.com,www.mapo.com.my,Blow Moulding,"HDPE Plastic Packaging containers (500ml to 220L), Small Bottles, Spray/Pump Bottles, Jerrycan, Tight Head Drum, Open Top Drum, Dustbin, Watering Can, Pail, OEM  , Containers and Bottles","Singapore, Australia, Thailand, Pakistan"
Magnum Plastic Industry Sdn Bhd,742894-D,1983.0,Alan Chiew,,Chiew Yit Keong,,"3, Persiaran Batu Gajah Perdana 2, Taman Batu Gajah Perdana, Pusing",31550.0,,Perak,Malaysia,605-3633 197/198,605-3633 196,ahp@ahpsb.com.my,www.magnumplastic.com,"Injection Moulding , In-mould Labeling, Shrink Sleeving","Thin Wall Container, Thin Wall Plastic Lid, Plastic Container, Hanger, PET Bottle, Electronic Application , Containers and Bottles, Electrical and Electronics, Houseware, Toys, Games, Sports","New Zealand, Brunei, Singapore, Indonesia"
Magnifine Sdn Bhd,207535-P,1991.0,Phang Teck Siong,Director,Jerry Fong,Director,"TB895, 1st Floor, Taman Bintang, Mile 3, Jalan Apas, Tawau",91000.0,,Sabah,Malaysia,6089-914 199/200,6089-914 211,bmy@baerlocher.com,,Yarn Extrusion,"Woven Bags , Films and Bags",
MAGMA Engineering Asia-Pacific Pte Ltd,199602120W,1996.0,Jan Eilers,"Asia Pacific, General Manager",Alex Lee,Business Development Manager,"25 International Business Park, #02-24/25 German Centre",609916.0,Singapore,,Singapore,+65 - 6564 3435,,,www.virtualmolding.com,,,
Macro Plastic Sdn Bhd,480656-V,1998.0,Chua Ngeun Seong,Executive Director,Chua Ngeun Seong,Executive Director,"Lot 3, Jalan 6/1, Sri Kembangan Industrial Area, Sri Kembangan",43300.0,,Selangor,Malaysia,"603-8945 8700, 8941 9057, 8941 9058",603-8942 6506,bhlplas@yahoo.com,www.macroplastic.com,"Calendering, PET Sheet Co-Extrusion","Transparent, Opaque/ Coloured Rigid PVC Film and Sheets, APET, PET-G, GAG Sheets and Anti-static Products for APET, PET-G and GAG, HIPS, PP, PET and PVC Shrink Label Films","Europe, China, ASEAN Nations"
M-Tec (KL) Sdn Bhd,1061899-V,2013.0,Lee Chen Tong,Director,,,"No. 91 - 92, Lorong Saga 1/2, Kawasan Perusahaan Saga, Sungai Petani",8000.0,,Kedah,Malaysia,604-431 6900,604-431 5900,terrytoh@banseng.com.my,,,Robot Arm Suppliers,
M Top Plastic Recycle (M) Sdn Bhd,1082241-P,2014.0,YBhg Dato' Kelvin Lee Thean Ming,Managing Director,,,"28, Laluan Industri Lahat 4, Kawasan Perindustrian Rima Lahat, Ipoh",31500.0,,Perak,Malaysia,016-555 9559,605-291 9129,david.liew@basf.com,www.mtopplasticrecycle.com.my,Extrusion Pelletising,Recycled Resin,
M Top Stretch Films (M) Sdn Bhd,1167332-K,2015.0,YBhg Dato' Kelvin Lee Thean Ming,Managing Director,,,"28, Laluan Industri Lahat 4, Kawasan Perindustrian Rima Lahat, Ipoh",31500.0,,Perak,Malaysia,016-555 9559,605-323 2328,,www.mtopstrecthfilms.com.my,Film Blowing/Film Extrusion,LLDPE Stretch Films,
Lyondellbasell Polymers (Malaysia) Sdn Bhd,281559 W,1993.0,Wong Kam Fook,Site Manger,George Wong,Regional Sales Manager,"Lot 8936, Jalan Telok Gong, Pandamaran",42000.0,Port Klang,Selangor,Malaysia,603-3134 2850,603-3134 2531,badar@behnmeyer.com.my,www.lyondellbasell.com,,Compounds,"China, Singapore, Thailand, Pakistan, Philippines"
Lyondellbasell Advanced Polyolefins (Malaysia) Sdn Bhd,,2000.0,Andy Law,Regional Sales Manager,Andy Law,Regional Sales Manager,"2, Jalan Wawasan Utama, Kawasan Perindustrian Sri Gading",83300.0,Batu Pahat,Johor,Malaysia,607-489 0010,607-455 9777,belcontrading@gmail.com,www.lyondellbasell.com,Compounds,Specialty Powder and Masterbatches,"Singapore, Thailand, Mauritius, Philippines, Indonesia, China, India, Pakistan, Sri Lanka, Middle East, Papua New Guinea, Australia, New Zealand, Turkey, New Caledonia, Europe"
"Luster LightTech Co., Ltd",,2002.0,Yates Yao,,Siqi Ren,,"Building No. 7, Yard No. 13, Cuihu Nanhuan Road, Haidian District, Beijing",100094.0,,,China,+86 10 5234 8600,+ 86 10 5234 8666,sales@beltec.com.my,www.en.lusterinc.com,,Machinery Supplier,"Australia, New Zealand, Indonesia, Singapore, Malaysia, Thailand, Philippines, Vietnam, Cambodia, Sri Lanka, India, Pakistan, South Korea, Japan, Russia, United Arab Emirates, Egypt, Israel, Turkey, Ukraine, Hungary, Czech Republic, Croatia, Swaziland, France, Germany, Netherlands, United Kingdom, Spain, Nigeria, South Africa, Argentina, Ecuador, Colombia, Mexico, United States, Canada"
Lum Mah Plastic & Printing (M) Sdn Bhd,82025-X,1982.0,Chen TeTi,Managing Director,Chen Poe Boon,Director,"71, Jalan Lingkungan Usaha, Kawasan Miel, Ayer Keroh Industrial Esate",75450.0,,Melaka,Malaysia,606-232 2898/1546,606-232 3905,berkilat@tm.net.my,,"Film Blowing/Film Extrusion , Lamination, Printing","LDPE Bags, PP Bags, HHM Bags - 1 Size/3 Size/4 size Seal and Center Seal Bags, Zip Lock Bags, Standpouch Oil Bags , Films and Bags",Australia
Lucent Enterprise Sdn Bhd,1050047-A,2013.0,Jimmy Wang Yu Long,Director,Jimmy Wang Yu Long,Director,"15, Jalan Industri 10, Taman Perindustrian Pekan Nanas, Pekan Nanas",81500.0,,Johor,Malaysia,607-699 2319,607-699 3071,bestware@myjaring.net,,"Pelletising , Sorting, Crushing",Mixed Plastic Scraps (PP/PE),"Singapore, China"
Low's Cap Seal Sdn Bhd,517691-X,2000.0,KK Low,Managing Director,Alex Lim,Marketing Director,"154, Jalan Perigi Nanas 8/13, Taman Perindustrian Pulau Indah, Port Klang",42920.0,,Selangor,Malaysia,603-3101 2500,603-3101 2502,beyondplasticssb@outlook.com,www.lowcapseal.com,"Printing, Lamination, Punching","PE Foam Wads, Paper Wads, IHS Liners, Induction Heat Seals Liners, Torque Activated Seals, Aluminum Foil Seals, Cap Seals, Cap Liners , Packaging","Singapore, Indonesia, Vietnam, Pakistan, Dubai, Oman, Thailand, Jeddah"
Lotte Chemical Titan Corporation Sdn Bhd,19950134430 / 363632,1986.0,Park Hyun Chul,President & CEO,Lau Chee Ming,"Vice President, Polymers Business","PLO 312, Jalan Tembaga 4, Pasir Gudang Industrial Estate",81700.0,Pasir Gudang,Johor,Malaysia,607-253 8888,607-251 7882,billionheong@gmail.com,www.lottechem.my,,Resins,
Lok Kawi Plastic Industries Sdn Bhd,654158-T,2004.0,Cheah Ley Cheng,Director,Cheah Ley Cheng,Director,"Lot No. 64, Lok Kawi Industrial Estate, Phase 1, Lok Kawi, Papar",,,Sabah,Malaysia,088-755 622/606,088-754 660,info@binaplast.com,,"Film Blowing/Film Extrusion , Recycling","HM Plastic Bags (Shopping Bags and Clear Bags), Recycled Resins - HDPE, LDPE, PP , Films and Bags",Brunei
Logomas Packaging Sdn Bhd,,1995.0,Angela Foo,Managing Director,Angela Foo,Managing Director,"Lot 15796, Block C, 6th Mile, Jalan Kebun, Seksyen 32, Shah Alam",40460.0,,Selangor,Malaysia,603-5162 7990,603-5162 1152,binsen@pd.jaring.my,www.logomas.com,Sheet Extrusion,"HIPS/PP/PE Sheets for Thermoforming of Packaging Trays, Degradable PS Foam Packaging Lunch Boxes/Bowls/Plates , Containers and Bottles, Foam","Singapore, Vietnam, Indonesia, Philippines, Thailand, China, Australia, South Africa, United States"
Lock & Key Hardware Sdn Bhd,153816-P,1986.0,Yong Chin Chai,Director,Yong Wei Cheong,Manager,"PT 11737, Persiaran Subang Indah, Sg. Penaga Industrial Park, Subang Jaya",47610.0,,Selangor,Malaysia,"603-5636 0522, 5632 4033",603-5637 1266,blowinject@yahoo.com,,"Pipe Extrusion , Fitting Injection","PVC Pipes, HDPE Pipes, PVC Fitting , Industrial and Construction",
